Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2030000,1.3272889,171.7719298245614,72.60073,686.4137934148312,686.4137934148312,1.0
2040000,1.3264959,172.9,77.79265,684.2100026786327,684.2100026786327,1.0
2050000,1.3262215,152.03030303030303,81.0433,678.3584633350372,678.3584633350372,1.0
2060000,1.3249677,159.27868852459017,78.82226,679.0887127915217,679.0887127915217,1.0
2070000,1.3244132,155.66129032258064,76.22023,697.8822600322385,697.8822600322385,1.0
2080000,1.3239511,162.06349206349208,74.559875,711.2619069659758,711.2619069659758,1.0
2090000,1.3236732,156.03076923076924,79.415535,724.486154457239,724.486154457239,1.0
2100000,1.3238434,162.35,76.20119,718.5466705622772,718.5466705622772,1.0
2110000,1.3239782,163.06349206349208,77.46343,767.4564553787632,767.4564553787632,1.0
2120000,1.3237942,159.58064516129033,82.54229,729.4112919546183,729.4112919546183,1.0
2130000,1.323625,161.22033898305085,82.71205,730.9216699729363,730.9216699729363,1.0
2140000,1.3232933,166.5593220338983,77.99492,709.8983075467206,709.8983075467206,1.0
2150000,1.3228778,159.57142857142858,81.400665,720.2935519338615,720.2935519338615,1.0
2160000,1.32287,167.0,81.088394,774.4741953957465,774.4741953957465,1.0
2170000,1.3228667,167.6,77.237976,751.0932234942408,751.0932234942408,1.0
2180000,1.3222867,167.10344827586206,81.5976,778.3610162250067,778.3610162250067,1.0
2190000,1.321161,153.1076923076923,81.20823,714.4323092185534,714.4323092185534,1.0
2200000,1.3209106,174.1206896551724,78.80548,756.8603395901878,756.8603395901878,1.0
2210000,1.3204105,174.94736842105263,79.36119,761.710714614418,761.710714614418,1.0
2220000,1.3203765,165.05,81.23179,761.0770536309383,761.0770536309383,1.0
2230000,1.3202714,165.96610169491527,79.59791,710.6517255259998,710.6517255259998,1.0
2240000,1.3202351,174.5438596491228,78.12286,774.5561422716107,774.5561422716107,1.0
2250000,1.3200628,155.92307692307693,84.86434,677.8363641536597,677.8363641536597,1.0
2260000,1.3199449,167.51724137931035,80.80004,693.1000011061029,693.1000011061029,1.0
2270000,1.319212,176.07142857142858,82.91951,809.7109078980305,809.7109078980305,1.0
2280000,1.3191758,162.7377049180328,81.462494,740.8306447926068,740.8306447926068,1.0
2290000,1.3188717,171.24137931034483,84.03203,750.4140328627668,750.4140328627668,1.0
2300000,1.3188859,177.17543859649123,82.66805,796.3655187134342,796.3655187134342,1.0
2310000,1.3194164,167.31666666666666,86.644806,762.2850026226292,762.2850026226292,1.0
2320000,1.3194249,164.0,85.27865,2421.159428129762,2421.159428129762,1.0
2330000,1.3198302,165.31578947368422,89.93184,760.3316676239173,760.3316676239173,1.0
2340000,1.3198302,186.8653846153846,83.63774,849.9415102730383,849.9415102730383,1.0
2350000,1.3200331,163.4126984126984,93.52058,787.2746082430795,787.2746082430795,1.0
2360000,1.3200443,169.89655172413794,92.03391,757.9862074214836,757.9862074214836,1.0
2370000,1.3196341,168.9655172413793,90.9695,786.3964953234321,786.3964953234321,1.0
2380000,1.3195711,180.59649122807016,90.24248,834.9736793919614,834.9736793919614,1.0
2390000,1.318305,151.71428571428572,98.17821,719.1124998573214,719.1124998573214,1.0
2400000,1.318052,178.59649122807016,93.09626,776.6946398356397,776.6946398356397,1.0
2410000,1.3178269,171.56140350877192,92.06822,803.3793107277618,803.3793107277618,1.0
2420000,1.3177712,171.74137931034483,94.83492,780.0775833664269,780.0775833664269,1.0
2430000,1.3172753,166.7,95.98341,771.4199996292591,771.4199996292591,1.0
2440000,1.3170713,177.96363636363637,95.85449,830.1222236951193,830.1222236951193,1.0
2450000,1.3166937,161.38709677419354,99.091415,2352.2190462544795,2352.2190462544795,1.0
2460000,1.3165214,185.05454545454546,93.96448,811.6927274465561,811.6927274465561,1.0
2470000,1.3160853,174.69642857142858,97.8455,2617.130882089382,2617.130882089382,1.0
2480000,1.3158014,165.59016393442624,101.09363,816.325807486811,816.325807486811,1.0
2490000,1.3162286,173.64285714285714,104.73089,837.3142833709717,837.3142833709717,1.0
2500000,1.3165591,172.6315789473684,106.30823,794.7105268490942,794.7105268490942,1.0
2510000,1.3162584,180.55357142857142,105.79815,783.7357103005052,783.7357103005052,1.0
2520000,1.3159649,170.66101694915255,108.258064,773.0389785584757,773.0389785584757,1.0
2530000,1.3155047,170.38983050847457,110.731865,852.5862056345775,852.5862056345775,1.0
2540000,1.3150041,169.7719298245614,109.08235,782.3403554025449,782.3403554025449,1.0
2550000,1.3148167,174.57142857142858,110.33672,809.6964876704048,809.6964876704048,1.0
2560000,1.3145522,170.47540983606558,108.44403,807.7622983995519,807.7622983995519,1.0
2570000,1.31422,159.40983606557376,114.32783,748.8590172626933,748.8590172626933,1.0
